Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas2473           Pavarde2473                      3        10         4         7         3         3         6         2         5         4        10         1         5         6         7         9
Vardas2474           Pavarde2474                      6         1        10         4        10         4         2         8         6         7         5         4         7         9         1         7
Vardas2475           Pavarde2475                      4         6         2         4        10         8         7         7         3         2         8         2         7         8         1         4
Vardas2476           Pavarde2476                      8         6         5         1         6         9         2         6         2         4         9        10         2         6         3         4
Vardas2477           Pavarde2477                      8         2         3         9         7         7         1        10         6         3        10         6         3         2        10         9
Vardas2478           Pavarde2478                      8         3         9         8         3         3         4         4         9         1         5         7         5         6         9        10
Vardas2479           Pavarde2479                      3         9         5         4         5         2         4        10         8         3         4         4         5         6         2         2
Vardas2480           Pavarde2480                      2         1         7         7         8         3         7         3        10         8         7         3         1         7        10         5
Vardas2481           Pavarde2481                      8         2         3         3         8         5         2         9         4         2         8         9         8        10         5        10
Vardas2482           Pavarde2482                      2         7         2         7         3         3         3         3         7         9        10         2         3         6         7         2
Vardas2483           Pavarde2483                      6         2        10        10         8         5         5         2         3         7         4         6         9         7         3         3
Vardas2484           Pavarde2484                      3         7         2         7         5         8         6         2         9        10         3         9         5         9         2         4
Vardas2485           Pavarde2485                      2         7         4         6         4         1        10        10         8         2         3         2         9         8         7         2
Vardas2486           Pavarde2486                     10         7         3         7         2         5         7         9         7         4         8        10         9         5         2        10
Vardas2487           Pavarde2487                      4         6         1         3         6         9         6         8         4        10         4         8         8         4         3         9
Vardas2488           Pavarde2488                      8         2         2         9         5         9         9         5         1         8         3         2         5         2        10         2
Vardas2489           Pavarde2489                      7         7         3        10         2         2         4         5         6         5         4        10         1         4         4         4
Vardas2490           Pavarde2490                      2         9        10         4         1         5         8         2         1         8         8         5         2         4         6        10
Vardas2491           Pavarde2491                      8         7         3         5         4        10         8         9        10         1        10         7         8         7         1         5
Vardas2492           Pavarde2492                      3         7         7         8         4         7         3         4         6        10         5         1         1         8         2         5
Vardas2493           Pavarde2493                      6        10         4         9         1         9         9         1         3         8         3         6         9         7         7         2
Vardas2494           Pavarde2494                      9         5         2         7         2         2         3         2         6         5         5         3         6         9         1         2
Vardas2495           Pavarde2495                      6         6         7         7         5         4         7         1         6         8         1         3         4         5         5         9
Vardas2496           Pavarde2496                      9         4         4         3         8         4         8         2        10        10         5         8         1         3         1         4
Vardas2497           Pavarde2497                      5         9         3        10         9         9         1         6         3         6         8         4         9         8         3         6
Vardas2498           Pavarde2498                      8         5        10        10        10         6         5         2         7         4         6         7         4         8         4         9
Vardas2499           Pavarde2499                      2         6         9         8         6         3         2         1         3         8         7         4         8         4         2         4
Vardas2500           Pavarde2500                      6         6         6         7         8         2        10        10         1         3         3         6         9         5         8         3
Vardas2501           Pavarde2501                      7        10         3         1         3         1         7         3         1         6         5         1         8         6         2         7
Vardas2502           Pavarde2502                      8         1         3         6         7         3         8         6         1         6         4         8         5         1         5         8
Vardas2503           Pavarde2503                     10        10         8        10         5         8         7         2        10        10         9         8         1         3         1         4
Vardas2504           Pavarde2504                      2        10         5         7         3         5         9         2         7        10         3         5         1         9         1         7
Vardas2505           Pavarde2505                      1         4         3         6         7         4         1        10         7         8         4         9         4         5         1         8
Vardas2506           Pavarde2506                      5         9         2         4         6        10         3         9         2         7         6         7         7         8         9         7
Vardas2507           Pavarde2507                      5         1        10         5         1         7         7         5         4         6         2         1         4         2         7         6
Vardas2508           Pavarde2508                     10         1         5         3         5         5        10         7         8         8         5         6         9         8         6         2
Vardas2509           Pavarde2509                      3        10         6         2         4         2         1         3         5         1         2         7         5         9         1         3
Vardas2510           Pavarde2510                      4        10         9         6         4         6        10         4         1         6         4         5         7         7         8         9
Vardas2511           Pavarde2511                      6         4         6         8         4         5         5         9         6         5         9         7         3         5         9         5
Vardas2512           Pavarde2512                      4         2         7         8         4         1        10         9         1        10         6         1         4         4         8         5
Vardas2513           Pavarde2513                      9        10         4        10         1         8         1         8         7         6         1         9         6         7         9         3
Vardas2514           Pavarde2514                      7         3        10         4         3         7         2         8         4         9         5         1         5         2         8         8
Vardas2515           Pavarde2515                      1         1         9         2         5         5         5         3         1         5         5         8         1         3         3         2
Vardas2516           Pavarde2516                      8         3         5         9         6         8         2         1         9         5         2         8         9         8         3        10
Vardas2517           Pavarde2517                      3         8         9         7        10         9         1         2        10         9         9         4         5         5         2         2
Vardas2518           Pavarde2518                     10         9         7        10         5         2         6        10         4         6        10         3         6         9         3         4
Vardas2519           Pavarde2519                      9         1         7         7         6         8         7         6         8         6         7         4         9         7         8         8
Vardas2520           Pavarde2520                      4        10         5         6         1         6         5         5         5         3         3         1         2         6         2         6
Vardas2521           Pavarde2521                      3         3         6        10         6         6         7         6         5         8         4         9         9         6         8         7
Vardas2522           Pavarde2522                      6         8         7         2         3        10         1         2         4         7         2         7         1         9         7         3
Vardas2523           Pavarde2523                      7         8         6         5         3         3         4         3         9         2         6         4         8         2         5         3
Vardas2524           Pavarde2524                      2         6         5         6         8         6         9        10        10         3         8         3         6         4         8         4
Vardas2525           Pavarde2525                      7         9         2         1        10         9         9         9         9         7         1        10         8         5         9        10
Vardas2526           Pavarde2526                      4         2         7        10         7         6         5         2         7         6         2         5         7        10         7        10
Vardas2527           Pavarde2527                      7         8         9         9         7        10         6         8         8         8         3         6         5         2         3         4
Vardas2528           Pavarde2528                      6        10         4         7         6        10         2         3         4         7         3         8         4         2         7         3
Vardas2529           Pavarde2529                      3        10         7         3        10         7         1         3         8         1         7         4         5         6         6         4
Vardas2530           Pavarde2530                      3         5         1        10         5         8         4         9         9         8         9         8         2         6         9         2
Vardas2531           Pavarde2531                      3         5         6         4         5         8         1         7         2         2         4         9         2         5         9         6
Vardas2532           Pavarde2532                      7        10         2         7         9         7         3         9         9        10         2         2         2         6         7         6
Vardas2533           Pavarde2533                      6        10         4        10         7         3         5         4         1         8         2         4         2         9         9         7
Vardas2534           Pavarde2534                      5         2         5         4         3         1        10        10         8         9         1         8        10        10        10         2
Vardas2535           Pavarde2535                      5         1         5         4         4         7         5         9         7         7         8         4         4         6         1         7
Vardas2536           Pavarde2536                     10         8         5         7         5        10         8         9         4         1         7         4         8         7        10         1
Vardas2537           Pavarde2537                      6         9         5         8         5         4        10         9         6         9         4         1         5         9         5         5
Vardas2538           Pavarde2538                      9         4         8         7         3         6        10         7        10         6         3         6        10         7         6         4
Vardas2539           Pavarde2539                      5         9         4         1        10         7         4         6         8         5         6         6         6         1         5         9
Vardas2540           Pavarde2540                      5         9         1         8         6         7        10         4         4         9        10         4         5        10         3         9
Vardas2541           Pavarde2541                      1         2         7         4         7         9         4         2        10         1         4         8         9         2         1         7
Vardas2542           Pavarde2542                      5         6         4         7         7         5         2         8         3         8         8         8         7         9         2         4
Vardas2543           Pavarde2543                      2         9         8         4         7         4        10         9         7         5         7         3         5         7         5         1
Vardas2544           Pavarde2544                      8         3         9         1         2        10         1         1         8         1         1         8         6         9         4         2
Vardas2545           Pavarde2545                      7         5         3         5         1         2         2         5         7         3         1         2         4         9         4         7
Vardas2546           Pavarde2546                      4         8         8         4         6         9         4         7         7         9         4         3         5         4         4         4
Vardas2547           Pavarde2547                      9         2         1         1         2        10         3         8         6         9         8         9         3        10        10         7
Vardas2548           Pavarde2548                      1         9         1         3         9         3         4         3         1         4        10         1         9         2        10         5
Vardas2549           Pavarde2549                      8         5         9         6        10         9         8         7         4         4         7         4         9         3        10         6
Vardas2550           Pavarde2550                      8         1         5        10        10         3         6         5         3        10         3         6         3         4         7         4
Vardas2551           Pavarde2551                      9         1         8         4         4         4         2         4         9        10         2        10         7         9         5         8
Vardas2552           Pavarde2552                      9         3         1         3        10         9         4         3         1         6         8         8         5         9         3         3
Vardas2553           Pavarde2553                      1         8         6         1         2         7         2         4         2         7         8         6        10         7         6         1
Vardas2554           Pavarde2554                     10         8         2        10        10         3         4         6         8         5         7         2         8         5         1         9
Vardas2555           Pavarde2555                     10         7         5         9         9         9         5         6         4         8        10         1         6         9        10         9
Vardas2556           Pavarde2556                      3         3         9        10        10         2         2         5        10         5         7        10         2         8         3         1
Vardas2557           Pavarde2557                      4         2         9         9         2         9         6         6        10         9         2         8         3         9         7         5
Vardas2558           Pavarde2558                      1         7        10        10         5        10         9         1        10         9         7         2         1         4         2         2
Vardas2559           Pavarde2559                      8         8         1        10        10         1         5         1         5        10         9         4         5         2         9         3
Vardas2560           Pavarde2560                      9        10         1         8         3         8         3         9         7         4         6         6         9         8         5         3
Vardas2561           Pavarde2561                     10         5         6         2         1         1         7         5         2         5         2         6         4         9         5         7
Vardas2562           Pavarde2562                      4        10         1         8         1         3         6         7         9        10         9         9         8         7        10         6
Vardas2563           Pavarde2563                      6         4        10         5         4         6         8         3         7         2         8         3         4         7         4         8
Vardas2564           Pavarde2564                      6         3         6        10         7         9         9         7         7         5         9         1         9         7         3         2
Vardas2565           Pavarde2565                      4         2         6         5         9         8         6         4         5         7        10         4         6         1         8         5
Vardas2566           Pavarde2566                      7         7         7         9         4         7         7         7         8         1         6         3        10         8         1         7
Vardas2567           Pavarde2567                      3         8         1         4         7         2         9        10        10         1         7        10        10         4         4         4
Vardas2568           Pavarde2568                      6         3         9         2         7         9         9         6         3         6         8         6         2         2         2         9
Vardas2569           Pavarde2569                      5         2         5         5         3         7        10         7         5         7         7         6         2         7         8         7
Vardas2570           Pavarde2570                      1         8         6         4         8         8         4         9         1         4         1        10         3         2         6         1
Vardas2571           Pavarde2571                     10         6         8         9         3         5        10         3         1         6        10         1         1         3         5         9
Vardas2572           Pavarde2572                      6         8         8         9         3         6         9         9         2         4         4         9         5         3         7         9
Vardas2573           Pavarde2573                      9         4         2         7         5         6         6         7        10         8         7         9         1         5         1         5
Vardas2574           Pavarde2574                      3         3         1        10         8        10         8        10         7         3         5         4        10         3         6         1
Vardas2575           Pavarde2575                      8         4         1         8         1         1         2         3        10         6         6         6         7         3         6         5
Vardas2576           Pavarde2576                      4        10         9        10         1         3         8         1        10         5         3         5         9        10         8         3
Vardas2577           Pavarde2577                      9        10         2         9         9         5         1         3         8         5         6        10         8         6         6         1
Vardas2578           Pavarde2578                      5         2        10         2         8         3         7         1         7         7        10         4         8         8         4         1
Vardas2579           Pavarde2579                     10         3         8         8         2        10        10        10         8         3         9         3         7         8        10         3
Vardas2580           Pavarde2580                      5         1         2        10         7         7         2        10         7        10         7         8         1         2         4         2
Vardas2581           Pavarde2581                      9         1         4         7         8         4         6         9         7         2         5         1         2         3         6         5
Vardas2582           Pavarde2582                      8        10         1         3         3         9         5         7         9         8        10         7         9         4         4         4
Vardas2583           Pavarde2583                     10        10        10         1         3         8         7         5         7         2         1         2         5         3         4         1
Vardas2584           Pavarde2584                      7         4         2         9         8         2         8         2         5         7         3         9         3         6        10         4
Vardas2585           Pavarde2585                      5         2         5        10         8         8         5         5         2         9         4         6         6         8         2         1
Vardas2586           Pavarde2586                      7         6         3         5        10         3         5         9         5         5         6         3         2         2         2         7
Vardas2587           Pavarde2587                      2        10         8         7         6         8         6         6         2         7         3         4         5         6         1         5
Vardas2588           Pavarde2588                      5        10        10         5        10         6         5         8         7         9         1         8         7         1         4         2
Vardas2589           Pavarde2589                      9         1         4         5        10        10         2        10         1         3         8        10         1         1         6         6
Vardas2590           Pavarde2590                      4         2         3         2         4         2         4         1         3         7         8         4         3         1         9         8
Vardas2591           Pavarde2591                     10         5         4         5         1         6         9        10         6         5         9        10         1         1         7         1
Vardas2592           Pavarde2592                      3         2         2         6         3         3         7        10         7         1         9         1         5         9         6         6
Vardas2593           Pavarde2593                      6         1         6         4         7         9         7         2         9         8         5         7         4         5        10         3
Vardas2594           Pavarde2594                      5        10         6         1         2         3         4         4         5         2         4         8         4         1         5        10
Vardas2595           Pavarde2595                      5         3         3         3        10         5         9         5         2         6         7         7         8         7         7         8
Vardas2596           Pavarde2596                     10         3         3         5         6         3        10         7        10         9         5         6         3         7        10         3
Vardas2597           Pavarde2597                      3         4         4         2         8         9         9         1        10         4         7         2        10         7         4         6
Vardas2598           Pavarde2598                     10         3         2         4         8         9         7         8         3         2         4         1         1         3         5         8
Vardas2599           Pavarde2599                      5         1        10         2         3         1         4         2         8         8         2        10        10         9        10         1
Vardas2600           Pavarde2600                     10         6         8         2         6         1         7         1         1         5         5         7         8         8         3         5
Vardas2601           Pavarde2601                      9         8         7         1         6         1         3         5         7         3         9         6         3         4         9         1
Vardas2602           Pavarde2602                      1         6         2         7         8         2         4         9         7        10         5         3         8         7         9        10
Vardas2603           Pavarde2603                      5         5         2         8         7         5         6         5         8         8         7         4         8         4         1         4
Vardas2604           Pavarde2604                      9        10        10         3        10         3        10         8         9         6         4         9         1         9         8         6
Vardas2605           Pavarde2605                      7        10         5         9         1         3         3         5         9         1         8         4         7         7         5         8
Vardas2606           Pavarde2606                      1        10         7        10         3        10         7         8         5         6         7         5         4        10         1         3
Vardas2607           Pavarde2607                      9         2         5         6         1         8         6         8         7         6         6         1         5         4         4         5
Vardas2608           Pavarde2608                      4         7         3        10        10         5         7         8         3         9         1         3         4         9         4        10
Vardas2609           Pavarde2609                      7         3         5         8         3         7         4         6         8        10         9         5         2         7         9         2
Vardas2610           Pavarde2610                      7        10         3         1        10         9         3         2        10         1         3        10         2         4         9         9
Vardas2611           Pavarde2611                     10         9         3         2         7         9         9         1         1         5         2         3         5         6        10         6
Vardas2612           Pavarde2612                     10         3         6         6        10        10         7         4         6         1         5         6         5         8         4         5
Vardas2613           Pavarde2613                      6         7         9         1         6         9         2         8         2         6        10        10         6         6         8         5
Vardas2614           Pavarde2614                      4         1         9         6         5         8         9        10         4         7         1         7        10         1         5         5
Vardas2615           Pavarde2615                      3        10         5         5         4        10         4         1         3         8         4         9         3         6         7         5
Vardas2616           Pavarde2616                      6         4         9         2         6         4         6         4         4         6         3        10         3         7         1         9
Vardas2617           Pavarde2617                      9         4        10         7         4         8         5         4        10         4         4         6         2         3         8         7
Vardas2618           Pavarde2618                      6        10         9         6         6         1         5         6         7         5         3         8         1         8         3         8
Vardas2619           Pavarde2619                      8        10         2        10         6         8         6         9         5        10         4         7         2         8         4         4
Vardas2620           Pavarde2620                      5         7         5         4         6         7         5        10         1        10         3         1        10         1         1         7
Vardas2621           Pavarde2621                      2        10         3         3         9         2         4         4         3         2         9         9        10         6         4         1
Vardas2622           Pavarde2622                      6         2         8         8         4         6        10         5         8        10         2         4         4         2        10         2
Vardas2623           Pavarde2623                      7         4         8         9         6         1         1        10         5        10         5         2         2         5         1         9
Vardas2624           Pavarde2624                     10         1         6         9         4         4         3         3         2        10         4         6         2         4         6         6
Vardas2625           Pavarde2625                      4        10         3         9         7         4         6         4        10         7         3         9         1         2         8         6
Vardas2626           Pavarde2626                      7         2         7        10         9         3         7         1         6         3         8         5         6         8         2         1
Vardas2627           Pavarde2627                      4         3         8         8         8         8         2         6         5         2         6         3         3         9         7         4
Vardas2628           Pavarde2628                      3         2         9         4         6         5         5         2         4         2        10        10         2         6         4         5
Vardas2629           Pavarde2629                      2         5         6        10         3         8         6         7         8         8         3         6         4         9         8         7
Vardas2630           Pavarde2630                      1         7         8         9         6         1         1         7         1         2         3         1         1         1        10         5
Vardas2631           Pavarde2631                      4         7         2         5         3         4        10         8         7         8         6         3         3         7         7         5
Vardas2632           Pavarde2632                      1         4         4         9         4         2         4         6         3         7         8         2         1         5         6         6
Vardas2633           Pavarde2633                     10         6         2         5         1         2         3         8         9         7         1         5        10         9         7         4
Vardas2634           Pavarde2634                     10         6        10         4         5        10         4         2         1         3         1         2         3         5         6         4
Vardas2635           Pavarde2635                      4         8         9         4         8         6        10        10        10         8         9         5        10         2         5         4
Vardas2636           Pavarde2636                      8        10         5         5         1         7         8         8         1         4         3         6        10        10         2        10
Vardas2637           Pavarde2637                      4         3         2         2         6         5        10         9         9         2         2         9        10         6         9        10
Vardas2638           Pavarde2638                      1         2         7         6         3         5         5         1        10         1         1         1         5         2         3         2
Vardas2639           Pavarde2639                      4         2         8         3         9         2         8         2         4         1         7         1         3        10         4        10
Vardas2640           Pavarde2640                      4         1         5         1         3         8         9         1         8         7         6         9         5         1         3         2
Vardas2641           Pavarde2641                     10         5         6         4         9         5         6         3         6         6         7         8         9        10         1         7
Vardas2642           Pavarde2642                      4         2         6         5         7         6         9         5         7         2         9         9         3         7         6        10
Vardas2643           Pavarde2643                      3         4         9        10         2         7         9         1         1         7         6        10         3         3         8         2
Vardas2644           Pavarde2644                      8         6         8         2        10        10         9         7         8         6         8         7         4         5        10         4
Vardas2645           Pavarde2645                      8         6         1         4         8         7         5         4         5         6         5        10         7         1         1         8
Vardas2646           Pavarde2646                      1         7        10         4         3         4         5         8         7         8         5         6         3        10         8         2
Vardas2647           Pavarde2647                     10         8         1         4         3         1         4         3         8         8         9         9         4         7         5         2
Vardas2648           Pavarde2648                      8         6         8         9         6         3         6         4         2         5         4         6         5         2         6         8
Vardas2649           Pavarde2649                      5         9        10         4        10         5         3         4         1         6         7         9         2         9         5         5
Vardas2650           Pavarde2650                      9         5         2         3         5         3         5         3         1         5         7         3         1         8         6         1
Vardas2651           Pavarde2651                      6        10         7        10         3        10         2         7         4        10         6         8         7         1         9         1
Vardas2652           Pavarde2652                      7         7         1         5         6        10         1         5         5         2         7         5         1         2         5         3
Vardas2653           Pavarde2653                      5         4         4         5         6         8        10         3         1         2         2         8         3         5         3         6
Vardas2654           Pavarde2654                      7         3         8        10        10         1         3         9         6        10        10         8         1         4         4         8
Vardas2655           Pavarde2655                      9        10         5         3         4         6         5         6         9         3         1         3         5        10         8         9
Vardas2656           Pavarde2656                      1         8         8         1         5         6         6         5         2         8         9         7         1         6        10         1
Vardas2657           Pavarde2657                      2         9         8         7         6         7         1         9         8        10         7        10         4        10         5         6
Vardas2658           Pavarde2658                      7         4        10         7         9         4         8         2         5         1         9        10         6         2        10         7
Vardas2659           Pavarde2659                     10         7         7         4         7         8         1         6         6         5         3         9         4        10         9         1
Vardas2660           Pavarde2660                      6         3         3         3         2         5         1         1         9         9         9         7         8         2         3         8
Vardas2661           Pavarde2661                      8         2        10         3         7         6         9         7         4         4        10         8         1         5         3        10
Vardas2662           Pavarde2662                      3         7         7         1         9         2         8         2         2         1         3         7         9         7         8         9
Vardas2663           Pavarde2663                      3         5         4         6         9         4         2         4         7         8         8         8         6        10         5         6
Vardas2664           Pavarde2664                      1         6         9        10         8         7        10        10         2         9        10         1        10         6         9         7
Vardas2665           Pavarde2665                      9         8         3         1         4         2         7         2         4         1         8         6         9         8         8         6
Vardas2666           Pavarde2666                     10        10         7         9         4         3         6         3         2         5         5        10         4         1         5         3
Vardas2667           Pavarde2667                     10         8         3         2         3         9        10         9         3        10         1         4         8         5         7         4
Vardas2668           Pavarde2668                      6         1         5         9         4         5         1         6         9         2         9         5         2         3         4         1
Vardas2669           Pavarde2669                      4         3         2         5         4         1         9         7         5         3         6         1         4         1         5         9
Vardas2670           Pavarde2670                      7        10         4         2         6         9         2         6         4        10        10         6         7         2         8        10
Vardas2671           Pavarde2671                      3        10         3         1         8         6         3         9         9         7         9         7         3         1         5         9
Vardas2672           Pavarde2672                      9         6         7         3         1         2         2        10         6         7         2         2         1         9         8         3
Vardas2673           Pavarde2673                      6        10         6         9         5         9         5         3         9         2         4         5        10         5         7         4
Vardas2674           Pavarde2674                      1         6         5         4         7         5         3         6         5         9         7         8         5         9         7         7
Vardas2675           Pavarde2675                      8         3         8         4         9         1         7         9         9         7         5         7         2         4         6         3
Vardas2676           Pavarde2676                      8         6         5         2         4         7         6        10         2        10         5         8         9        10         7        10
Vardas2677           Pavarde2677                      7         7         1         7         7         3         3         3         5         8         8         2         4         8         5         5
Vardas2678           Pavarde2678                      6         2         6         7         1         1         7         6         6         8         2         1         4         2        10         7
Vardas2679           Pavarde2679                      1         6         7         5         7         5        10         8         8         3         9         7         2         4         8         4
Vardas2680           Pavarde2680                     10         7         6         7         2         2         3         8         6         9        10         3         6         1         1         3
Vardas2681           Pavarde2681                      9         6        10         2         9         3         4         3         8         6         3         8         4         3         7         1
Vardas2682           Pavarde2682                      2         3         8         5         2         6         8         6         7         9         5         4         9         4         6         5
Vardas2683           Pavarde2683                      3         3         3         2         9         5         5        10         8         9         5         4         9         8         6         3
Vardas2684           Pavarde2684                      6         8         4         8         9         1         5         2         5         6         9         1        10         5        10         5
Vardas2685           Pavarde2685                     10         3         6         7        10         2         4         6         4         1         2         6         2         3         4        10
Vardas2686           Pavarde2686                      4         2         7         2         7         3         7         9         6         6         7         2         5         5         3        10
Vardas2687           Pavarde2687                     10         1         4         5         3         1         5         8         6         3         3         3        10         3         1         8
Vardas2688           Pavarde2688                      2         8        10         4         1         4         1         2         1         3         3         6         5         3         6         4
Vardas2689           Pavarde2689                      1         9        10         8         9        10         1         8         4         3         9         2         9         2         3         4
Vardas2690           Pavarde2690                      5         9         1         4         6         8         5         1         4         8         2         7         7         9         7         1
Vardas2691           Pavarde2691                      1         9         5         7         1         3         1         6        10         6         4         9         5         6         7         9
