Pavarde                   Vardas         ND1         ND2         ND3         ND4         ND5         ND6         ND7         ND8         ND9        ND10        ND11        ND12        ND13        ND14        ND15        Egz.
Pavarde486             Vardas486           4           3           7           5           3           7           9           1           6           2           2           6           5           8           7           6
Pavarde487             Vardas487           3           4           1           5           8           8           7           8           1           3           1          10          10           8           5           1
Pavarde488             Vardas488           9           6           6           1           3           3           4           1           7           6          10           5           9           9           5           3
Pavarde489             Vardas489           2           1           7           1           2           4           1           8           3           4           2           6           2           8           9          10
Pavarde490             Vardas490           1           8           1           9           1           7           3           7           2           6          10           3          10           1           8           3
Pavarde491             Vardas491           4          10           4          10           1           1           9           9           1           4           6           7           2           9           3           9
Pavarde492             Vardas492          10           5           9           5           7           7           7           1           1           7           1           4           6           8          10           1
Pavarde493             Vardas493           8           8           7           5           7           3           5           8           9           5           8           2           6           6           2           9
Pavarde494             Vardas494           6           2           3           6           2           1           9           3           6           7           5           8           7           6           7           2
Pavarde495             Vardas495           1           5           2           3           1           8           3           6           1           7           5           2           3           4           2           2
Pavarde496             Vardas496           5           2           2          10           1           1           2          10           9           4           1           8           7           2           8           2
Pavarde497             Vardas497           8           3           4           9           9           1          10           3           1           1           4           6           1           6           5           6
Pavarde498             Vardas498           4           7           6           6          10           6           2           7           1           9           9           4           4           2           5           5
Pavarde499             Vardas499           8           2           8           3           5           8           6           5           9           1           9           9           8           8           4           7
Pavarde500             Vardas500           5           4          10           2           7           2           3           7           4           6           3           1           9           7           8           1
Pavarde501             Vardas501           7           1           3           9           6           1          10           9           8          10           3          10           2           5           3           9
Pavarde502             Vardas502          10           4           7           6           4           4           1           2           5           2           6           2           8           3           5           1
Pavarde503             Vardas503           1           7           6           2           2           7           8           1           3           3           8           6           7           5          10           4
Pavarde504             Vardas504           3           8           8           8           5           2           4           1           8          10           4           6           2           3           8           4
Pavarde505             Vardas505           1           1           9           2           5           8           7           7           6           5           1           8          10           2           8           2
Pavarde506             Vardas506           5           6           4           3           7           7           9           6           2          10           9           2           7           8           8          10
Pavarde507             Vardas507           4           5          10           3           9           7           4           6           6           2           2           9           7           2          10           2
Pavarde508             Vardas508           4           8          10           4           4           1           5           9           7           4           7           2           2           3           7           9
Pavarde509             Vardas509           2           8           8           7           9           8           1           5          10           9          10           6           8           2           8           7
Pavarde510             Vardas510           9           8           3           6           1           4           4           5           4           7           4           6           6           1           8           2
Pavarde511             Vardas511           7           8           2           1          10           8           7           6           1           1           7           9           6           3           4          10
Pavarde512             Vardas512           1           9           1           5           3           6           1           9           3           2           2           6           5           6           6           7
Pavarde513             Vardas513           1           3          10           6           9           7           4           2           9           6           7           9           4           8           6           6
Pavarde514             Vardas514           1           7           3           6           8           5          10           1           8           8          10           5           3           2           8           7
Pavarde515             Vardas515          10           5           7           4          10           1           2           1           3           8           6           7           9           5           4           6
Pavarde516             Vardas516          10           8           5           9           5          10          10           7           8           1           2           9           1           4           2          10
Pavarde517             Vardas517          10          10           4           6           1           9           1          10           3           2           4          10           9           2           5           6
Pavarde518             Vardas518           4           8           4           7           9           4           7           3           1           9           1           9           2           3           2           7
Pavarde519             Vardas519           8          10           5          10           7           9           9           8           7           7           1           3           2           6           1           6
Pavarde520             Vardas520           8           1           5           7           3           1           5           6           9           8          10           3           5          10           1           6
Pavarde521             Vardas521           3           9           2           9           1          10           6           5           6           7          10           7           4           4           9           6
Pavarde522             Vardas522           8           6           2           5           8           7           5           6           3           6           2           4           5          10           9           6
Pavarde523             Vardas523           4           8           6           2           8           9           6           2           5           5           5           8          10           1          10           3
Pavarde524             Vardas524           6           4          10           9           5          10           8           4           8           5           2           9           1           4           8           4
Pavarde525             Vardas525           2           4           9           9           1           9           5           8           5           8           9           4           2           3           4           2
Pavarde526             Vardas526           9           3           8           6           1           3           1           8           7           1           2           2           4           3           2           6
Pavarde527             Vardas527          10           1           4           9           6           6           9           9           9          10           6           2           9           4           6          10
Pavarde528             Vardas528           6           4           8           5           8           4           2           4           4           6           4           2           8           4           6           2
Pavarde529             Vardas529           4           8           3          10           6           6           8           7           7           1           5           6           9           4           4           4
Pavarde530             Vardas530           1           9           7           2           3           7           2           7          10           3           9           2           1           5           6           2
Pavarde531             Vardas531           3           4           6           5           2          10           9           1           2           3           4           4           6           6           2           3
Pavarde532             Vardas532           9           3           2           2           7           1           4           8          10           1           8           6           7           4           1           3
Pavarde533             Vardas533           6           3           7          10           1           7           6           5           6           3           7           9           5           9           3           8
Pavarde534             Vardas534           1           4           7           1           5           2           8           1           1           8           9           9          10           6           3           6
Pavarde535             Vardas535           2           3          10           8           1          10           1           9          10           4           6           8           2           1           1           3
Pavarde536             Vardas536           8           4           8           1          10           7           4           8          10           1           3           8           3          10           4           3
Pavarde537             Vardas537           1           6           4          10           1           5           9           4           3           3           9           6          10           3           5           1
Pavarde538             Vardas538          10           6           3           6           3           7           8           1           2           1           2           8           6           3           6           6
Pavarde539             Vardas539           1           7           8           1           8           3           5           8           2           7           8           9           3           2           3          10
Pavarde540             Vardas540          10           9           2           6           8           2           3           5           6           7           7           3           5           9           9           6
Pavarde541             Vardas541           8           8          10           1           3           5          10           2           1           3           5           7           2           1           9           9
Pavarde542             Vardas542           2           2           5           7           1           4           1           3           6           3           7           8           8           5           2          10
Pavarde543             Vardas543           7           8           2          10           8           8           7          10           8           8           5           5           1           3           3          10
Pavarde544             Vardas544           8           4           6           2           3          10           4           9           5           6           2           1           7           5          10           4
Pavarde545             Vardas545          10           9           7           1           3           1           7           2           7           5           7           9           2           6           2           2
Pavarde546             Vardas546           7           2           5           8           6           3           1           4           3           4           6           2           9          10           8           7
Pavarde547             Vardas547           1           3           9           7           1          10           5           6           8           9           2           2           6           4           7           1
Pavarde548             Vardas548           1           1           1           7           2           2           4           3           6           1           2           8           3           4           6           2
Pavarde549             Vardas549           2           5           7           3           3           8           3           3          10           4           3           3           6           2           7           3
Pavarde550             Vardas550           9           2           7           1           7           5           1           4           5          10           9           4           1           4           6           7
Pavarde551             Vardas551           2           8           8           2           3           7           8           6          10           7          10           2           7           9           2           7
Pavarde552             Vardas552           1           8           7           4           7           4           9           4           7           5           9           7           4           3           2           2
Pavarde553             Vardas553           1           1           1           7           7           2           3           5           9           5           1           1           7           5           1           5
Pavarde554             Vardas554           3           2           3           2           9           4           9           9           6           7           4           2           3           7           6           7
Pavarde555             Vardas555           9           1           6           2          10           8           5           3          10           8           6           7           7           1           9           8
Pavarde556             Vardas556           4           8           2           3           4           9           6           5           3           7           6           2           1           1           1           3
Pavarde557             Vardas557           6           7           6           1           9          10           1           6           3           4           1           2           1           8           4           6
Pavarde558             Vardas558           2           1           8           3           7           4           2           1           7           9           1           8           9           6          10           5
Pavarde559             Vardas559          10           3           7           7           9           1           9           5           4           5           3           6           5           9           7           6
Pavarde560             Vardas560           1           9          10           9           7           2           9          10           3           7           8           5           8          10           9           1
Pavarde561             Vardas561           1           6           6           1           5           3           5           9           7           4           8           4           1           1           4           5
Pavarde562             Vardas562           2          10           1           8           7           8           5           2           3           4           8           6           7           1           2           6
Pavarde563             Vardas563           1           5           7           3           1           7           1           3          10           1           5           8           8           4           7           2
Pavarde564             Vardas564           3          10           1           1           3           7          10           4           5           7           9          10           1           1          10           7
Pavarde565             Vardas565           8           4          10           8          10           8           9           4           8           4          10           6           4           8          10           6
Pavarde566             Vardas566           2           7           9           5           1           4           5           9           1          10           4           9           5           1           3           7
Pavarde567             Vardas567           1           6           1           2           2           6           4           8           8           3           5           2           3           3           4           8
Pavarde568             Vardas568           1           8           2           9           9           5           9           2           3           1           4           6           4           6           1          10
Pavarde569             Vardas569           9          10           7           1           9           3           2           9           1           3           3           9           2           8           1           2
Pavarde570             Vardas570           4           4           2           6           7          10           9           6          10           4           3           7           6           4           5           9
Pavarde571             Vardas571           3           8           4           6           1           9           2           9           7           9           9           6          10           8           4           5
Pavarde572             Vardas572           4           8           6           5           9           5           3           3           5           2           6           3           4           8           2           5
Pavarde573             Vardas573           9           4           3           8           1           2           8           8           8           6           1           6          10          10           3           5
Pavarde574             Vardas574           4           1           9           3           8          10           3           1           5           7           8           8           3           8           8           1
Pavarde575             Vardas575          10           3           4           9           7           8          10           3           7           4          10           7           3           5          10           9
Pavarde576             Vardas576           8           8           6          10           4           6           5           6           9           3          10           6           1           7           3           9
Pavarde577             Vardas577           4           8           4           9           9           5          10           6           6           3           4           2           5           3           3           7
Pavarde578             Vardas578           2           2           4           1          10           1           1           8           4           5           8           5           5           9           2           9
Pavarde579             Vardas579           2           8           6           3           6           4           9           3           6           1           6           1           6           6           3           5
Pavarde580             Vardas580           2           4           6           5           2           5           6           4           6           1           5           5           5           2           8           5
Pavarde581             Vardas581           2           5           5          10           4          10           7           9           3          10           1           1           2           6           4           9
Pavarde582             Vardas582           3           9           3          10          10           1           1          10           5           6           6          10           1           3           2           7
Pavarde583             Vardas583          10          10           4           4           6          10           1           8           5           6           2           9           8           6           2           2
Pavarde584             Vardas584           9           6           2           1           7           4           7           8           5           8           9           9           3           9           4           4
Pavarde585             Vardas585           9           4           4           1           1           6           2           4           6           4           8           1           7           1          10           3
Pavarde586             Vardas586           1           7           9           7          10           2           6           2           2           9           5           6           3           4           7           5
Pavarde587             Vardas587           2           5           9           7           6           5           1           8           2           7           6           2           9           1           3           1
Pavarde588             Vardas588           1           9           4           7           5          10           4           5           7           4           8           4           1          10           1           4
Pavarde589             Vardas589           2          10           4           3           5           3           5           8           7           2           3           4           5           7           7          10
Pavarde590             Vardas590           9           2           2           3           1           7           7           6           9           4          10           1          10           2           1           7
Pavarde591             Vardas591           9           8           6           2          10           2          10           7           5           1           4           6           7           8          10           8
Pavarde592             Vardas592          10           2           9          10           8           4          10           4           9           6           4           2          10           9           2           8
Pavarde593             Vardas593           5           8           5          10           1           9           6           7           2           4           8           8           4           7           7           4
Pavarde594             Vardas594           5           1           9           6           6          10           5           8          10           7           6           4           4           1           1          10
Pavarde595             Vardas595           1           7           1           8           8           5           6          10           1           5           7           3           1           9          10           9
Pavarde596             Vardas596           5           3           3           5           1           9          10           5           9           1           3          10           4           9           7           7
Pavarde597             Vardas597           9           4           8           5           4           7           1           1           2          10          10           5           2           6           6           5
Pavarde598             Vardas598           7           7           2           8           3           5           5           7           9           5           8          10           6          10           7           4
Pavarde599             Vardas599           6           9           7           1           6           3           9           2           3           5           6           5           8          10           5           4
Pavarde600             Vardas600           5           1           8           8           8           7          10           6           2           8           2           9           7           1          10           8
Pavarde601             Vardas601           7           5           6           3           7           1           8           2           6           6           1          10           9           3           3           9
Pavarde602             Vardas602           5           2           2           4           3           8           9           4           4           8           6           7           2           5           8           9
Pavarde603             Vardas603           9           1          10           1           4           3           4          10           4           8           7           5           9           7           4           9
Pavarde604             Vardas604           4           6           5          10           3           8           7           1           5           6           7           7           2           1           6           9
Pavarde605             Vardas605           6          10           8           5           3          10           2           1           4           3           5           9          10           4          10           6
Pavarde606             Vardas606          10           3           5          10           1           1           4           2           6          10           7           1           9           8           5           3
Pavarde607             Vardas607           5           8           3           4           4           2           8           6           6           4           9           2           3           9           5           6
Pavarde608             Vardas608           5           9           8           2           1           9           6           8           6           2           4           4           8           4           2           4
Pavarde609             Vardas609           8           9           6           7           8          10           9           3           5           9           7           3           1           9           2           2
Pavarde610             Vardas610           5           7           2          10           5           2          10           8          10           7           7           2           4           3          10           3
Pavarde611             Vardas611           7           1           9           6           8           5           7          10           4           8           7           9           1           9           6           4
Pavarde612             Vardas612          10           6           3           6           6           7           4           1           8           6           5           4           2           1           6           6
Pavarde613             Vardas613           2           6           8           2           1           1           6          10           6           8           8           1           2           1           5           5
Pavarde614             Vardas614           5           8           2           5          10           8           7          10           8           7           8           4           2           2           5           3
Pavarde615             Vardas615          10           3           4           5          10           5           3           2           6           9           9           7           6           2          10           6
Pavarde616             Vardas616           7           7           6           8           5           6           6           9           8           9           1           9           9           9          10           8
Pavarde617             Vardas617           8           7           8           7          10           3           7           7           8           6          10           6           7          10           7          10
Pavarde618             Vardas618           4           1           9           5           5           7           4           9           6           2           8           9           4           7           9           4
Pavarde619             Vardas619           9           1           3           3           7           6           7          10           5          10           6           9           2           3           1           7
Pavarde620             Vardas620          10           2          10           3          10           3           3           3           8           7           4           5           5           1          10           6
Pavarde621             Vardas621           3           3           7           8           3           3           4           3           1           2           4           4           7           7           4           6
Pavarde622             Vardas622           3           1           8           1           5           9           9           7           5           6           9           1          10           4           4           4
Pavarde623             Vardas623           4           9          10           7           7          10           6           9           4           1           4           9           4           6           6           8
Pavarde624             Vardas624           2           3           5          10          10          10          10           5           1           6           1           9           4           4           1           5
Pavarde625             Vardas625           9          10           3           2           7           8           6           8          10          10           7           1           3           3           2           9
Pavarde626             Vardas626          10           4           6           4           3           5           8           6           6           5           5           3           2          10           3           1
Pavarde627             Vardas627           2           4           9           9           7           5           4           7           9           5           3           9           7          10           7           6
Pavarde628             Vardas628           9           9           6           7           4           4           8           7           7           6           8           2           5           3           5          10
Pavarde629             Vardas629           8           8           2           5          10           9           1           3           8           7           6           3           9           5           2           3
Pavarde630             Vardas630           2           7           3           8          10           5           9           6           1           5           2          10           8           3           6           9
Pavarde631             Vardas631           7           9           5           1           9           2           4           7           7           6           9           7           7           6           8           5
Pavarde632             Vardas632           7           5           8           1           1           4           8           3           3           7           1           2          10           9           2          10
Pavarde633             Vardas633           6           7           2           5           8           6           8           2           4          10           7           9          10           4          10           5
Pavarde634             Vardas634           1           8           3          10           4          10           2           6           7           8           6           1           4           7           8           7
Pavarde635             Vardas635           1           6           6           6           9           4           6           4           8          10          10           5           2          10           7           4
Pavarde636             Vardas636           2           1          10           5           7           3           9           8           7           2           5           6           1           2           2           7
Pavarde637             Vardas637           6           2           1           2           2           4           8           7           3           6           4           1           8           2           1          10
Pavarde638             Vardas638          10           3           3           6           4           5           4           2          10           1           1           6           7           4           4           8
Pavarde639             Vardas639           4           6           6          10           9           8           7           9           6           1           9           9           7           4           9           9
Pavarde640             Vardas640           7           1          10           3           1          10           2           8           8           8           3           6           8           3           3           5
Pavarde641             Vardas641           4           9          10           9           4           2           4           4           3           6           9           8          10           5           2           5
Pavarde642             Vardas642           9           2           6           9           1           2           7           1           3           5           6           5           7           2           1           9
Pavarde643             Vardas643           8           8           4           5           8           9           6           2           9           6           8           6           8           7           1           3
Pavarde644             Vardas644           8           4           8           3           9           6           2           2           4           5           9           9           4           1           4           4
Pavarde645             Vardas645           8           7           7           4           9           4           5           9           9           9           4           8           4           7           9           1
Pavarde646             Vardas646           6           4           6           8           3           6           9           3           1          10          10           7           3           9           3           6
Pavarde647             Vardas647           4           3           4           6           5           8           3           3           9           9           1           4           6           9           1           6
Pavarde648             Vardas648           3           2           9           9           4           3           3           9           2           6          10           3           1           2           3           4
Pavarde649             Vardas649           7           1           8           5           4           8           7           9           9          10           6           7           2          10           4           8
Pavarde650             Vardas650          10           5           2           8           1          10           1           2           2           4           5           7           3           2           3           3
Pavarde651             Vardas651           2           4           9           2           8           2           3           1           3           2           1          10           9           4           2           9
Pavarde652             Vardas652           1           8           1           2           9           1           2           1           7           1           7           4           1           1           3           7
Pavarde653             Vardas653          10           1           8           3          10           8           3           8           5           5           3          10           4           2           2           4
Pavarde654             Vardas654           7           6          10           7           2           1           5           4           8           2           3           4           9           9           6           4
Pavarde655             Vardas655           9           4           1           3           5           3           2          10           8           9          10           1           2          10           5           1
Pavarde656             Vardas656           9           3           7           4           2           9           9           8           5           9           1           5           1           3           3           2
Pavarde657             Vardas657           8           7           3           5           6           1           5           4           5          10           5           9           6           7           6           3
Pavarde658             Vardas658           1           8           9           8           4           3           7           2           2           8          10          10           5           3           7           9
Pavarde659             Vardas659           3           9           5           6           3           9           5           8           5           9           3           8           5           1           5           1
Pavarde660             Vardas660           7           1           5           1           5           9           8           4           2           7           9           3           2           2           3           9
Pavarde661             Vardas661           6           7           2           7           9           8           2           2           2           7           2           8           1           9           7           3
Pavarde662             Vardas662           4           5           1           6          10           1           3           9           4           2           9           8           4           9           1           1
Pavarde663             Vardas663           4           9           2           6           1           1           9           2           2           8           9          10           1           8           9           2
Pavarde664             Vardas664           3           4           5           6           1           2           8           1           2           7           2           8           7           2           6           8
Pavarde665             Vardas665           4           6           4           2           2           1           3           2          10           9          10           7           1           1          10           3
Pavarde666             Vardas666           9           1           6           8          10           9           4           1           3           2           7           2           5           9           3           1
Pavarde667             Vardas667           9           6           2           6           1           2           1           9           1           7           7           1           3           7           1           5
Pavarde668             Vardas668           8          10           3           9           4           5           2           1           6           3           4           6           6           7           9           1
Pavarde669             Vardas669           9           6           8           5           3           1           8           9           6           9          10           9          10           8           1           4
Pavarde670             Vardas670           1           9           7           8           8           2           1           3           4           1           5           9           4           7           3           5
Pavarde671             Vardas671           8           9           9           7           8           8           7           4           1          10           5           6           5           6           5           7
Pavarde672             Vardas672           5           8           3           9           3           8           6           2           9           7           9           6           9           2           1           4
Pavarde673             Vardas673           2          10           6           4           6          10          10           6           9           1           4           5           2           6           2           8
Pavarde674             Vardas674           8           2           4           7           5           5           2           9           5           4           3           3           7           9           1          10
Pavarde675             Vardas675           6           7           8           1           9           9           2           8           8           5           8           5           9           6           9           2
Pavarde676             Vardas676           1          10           5          10           3          10           1           4           7           1           7           1           3           1           3           4
Pavarde677             Vardas677           8           8           7           3           7           5           5           1           7           7           1           2           3           9           5           2
Pavarde678             Vardas678           2           9           8           3           8           1           9           3           1           8           4           3           4          10           7           6
Pavarde679             Vardas679           5           3          10           8           7           4           1           8           2           4           7           3           2           1           7           9
Pavarde680             Vardas680           3           2           8           4           3           8           8           7          10           2           1          10           9           6           3           6
Pavarde681             Vardas681           9          10           5           2           3           1           6           8           1           3           2           3           6           3           2           8
Pavarde682             Vardas682           3          10           3          10           2           1           1           1           8           5           6           9           4           2           8           5
Pavarde683             Vardas683           9           2           7           5           5          10          10           9           7           8           9           6           7           1           5           7
Pavarde684             Vardas684           8           3           6           4           8           7           6           2           9           3           9           9           2          10          10           4
Pavarde685             Vardas685           9           6           3          10           5           1           8          10           8           4           8           8           5           6           5           2
